1 ----> uni0001	
33017 ----> uni80F9	胹
33018 ----> uni80FA	胺
33019 ----> uni80FB	胻
33020 ----> uni80FC	胼
33021 ----> uni80FD	能
33022 ----> uni80FE	胾
33024 ----> uni8100	脀
33025 ----> uni8101	脁
33026 ----> uni8102	脂
33027 ----> uni8103	脃
33029 ----> uni8105	脅
33030 ----> uni8106	脆
33031 ----> uni8107	脇
33032 ----> uni8108	脈
33033 ----> uni8109	脉
33034 ----> uni810A	脊
33045 ----> uni8115	脕
33046 ----> uni8116	脖
33047 ----> uni8117	脗
33048 ----> uni8118	脘
33049 ----> uni8119	脙
33051 ----> uni811B	脛
33053 ----> uni811D	脝
33054 ----> uni811E	脞
33055 ----> uni811F	脟
33057 ----> uni8121	脡
33058 ----> uni8122	脢
33059 ----> uni8123	脣
33060 ----> uni8124	脤
33061 ----> uni8125	脥
33063 ----> uni8127	脧
33065 ----> uni8129	脩
33067 ----> uni812B	脫
33068 ----> uni812C	脬
33069 ----> uni812D	脭
33071 ----> uni812F	脯
33072 ----> uni8130	脰
33074 ----> uni8132	脲
33079 ----> uni8137	脷
33081 ----> uni8139	脹
33082 ----> uni813A	脺
33085 ----> uni813D	脽
33086 ----> uni813E	脾
33091 ----> uni8143	腃
33092 ----> uni8144	腄
33094 ----> uni8146	腆
33095 ----> uni8147	腇
33096 ----> uni8148	腈
33098 ----> uni814A	腊
33099 ----> uni814B	腋
33100 ----> uni814C	腌
33101 ----> uni814D	腍
33102 ----> uni814E	腎
33103 ----> uni814F	腏
33104 ----> uni8150	腐
33105 ----> uni8151	腑
33106 ----> uni8152	腒
33107 ----> uni8153	腓
33108 ----> uni8154	腔
33109 ----> uni8155	腕
33115 ----> uni815B	腛
33116 ----> uni815C	腜
33118 ----> uni815E	腞
33120 ----> uni8160	腠
33121 ----> uni8161	腡
33122 ----> uni8162	腢
33124 ----> uni8164	腤
33125 ----> uni8165	腥
33126 ----> uni8166	腦
33127 ----> uni8167	腧
33129 ----> uni8169	腩
33131 ----> uni816B	腫
33134 ----> uni816E	腮
33135 ----> uni816F	腯
33136 ----> uni8170	腰
33137 ----> uni8171	腱
33138 ----> uni8172	腲
33139 ----> uni8173	腳
33140 ----> uni8174	腴
33142 ----> uni8176	腶
33143 ----> uni8177	腷
33144 ----> uni8178	腸
33145 ----> uni8179	腹
33146 ----> uni817A	腺
33151 ----> uni817F	腿
33152 ----> uni8180	膀
33154 ----> uni8182	膂
33155 ----> uni8183	膃
33158 ----> uni8186	膆
33159 ----> uni8187	膇
33160 ----> uni8188	膈
33161 ----> uni8189	膉
33162 ----> uni818A	膊
33163 ----> uni818B	膋
33164 ----> uni818C	膌
33165 ----> uni818D	膍
33167 ----> uni818F	膏
33173 ----> uni8195	膕
33175 ----> uni8197	膗
33176 ----> uni8198	膘
33177 ----> uni8199	膙
33178 ----> uni819A	膚
33179 ----> uni819B	膛
33180 ----> uni819C	膜
33181 ----> uni819D	膝
33182 ----> uni819E	膞
33183 ----> uni819F	膟
33184 ----> uni81A0	膠
33186 ----> uni81A2	膢
33187 ----> uni81A3	膣
33190 ----> uni81A6	膦
33191 ----> uni81A7	膧
33192 ----> uni81A8	膨
33193 ----> uni81A9	膩
33195 ----> uni81AB	膫
33196 ----> uni81AC	膬
33198 ----> uni81AE	膮
33200 ----> uni81B0	膰
33201 ----> uni81B1	膱
33202 ----> uni81B2	膲
33203 ----> uni81B3	膳
33204 ----> uni81B4	膴
33205 ----> uni81B5	膵
33206 ----> uni81B6	膶
33207 ----> uni81B7	膷
33209 ----> uni81B9	膹
33210 ----> uni81BA	膺
33211 ----> uni81BB	膻
33212 ----> uni81BC	膼
33213 ----> uni81BD	膽
33214 ----> uni81BE	膾
33215 ----> uni81BF	膿
33216 ----> uni81C0	臀
33218 ----> uni81C2	臂
33219 ----> uni81C3	臃
33220 ----> uni81C4	臄
33221 ----> uni81C5	臅
33222 ----> uni81C6	臆
33223 ----> uni81C7	臇
33224 ----> uni81C8	臈
33225 ----> uni81C9	臉
33226 ----> uni81CA	臊
33228 ----> uni81CC	臌
33229 ----> uni81CD	臍
33231 ----> uni81CF	臏
33232 ----> uni81D0	臐
33233 ----> uni81D1	臑
33234 ----> uni81D2	臒
33237 ----> uni81D5	臕
33239 ----> uni81D7	臗
33240 ----> uni81D8	臘
33241 ----> uni81D9	臙
33242 ----> uni81DA	臚
33243 ----> uni81DB	臛
33245 ----> uni81DD	臝
33246 ----> uni81DE	臞
33247 ----> uni81DF	臟
33248 ----> uni81E0	臠
33249 ----> uni81E1	臡
33250 ----> uni81E2	臢
33251 ----> uni81E3	臣
33253 ----> uni81E5	臥
33254 ----> uni81E6	臦
33255 ----> uni81E7	臧
33256 ----> uni81E8	臨
33257 ----> uni81E9	臩
33258 ----> uni3242	自
33260 ----> uni81EC	臬
33261 ----> uni81ED	臭
33262 ----> uni81EE	臮
33266 ----> uni81F2	臲
33267 ----> uni3243	至
33268 ----> uni81F4	致
33270 ----> uni81F6	臶
33271 ----> uni81F7	臷
33272 ----> uni81F8	臸
33273 ----> uni81F9	臹
33274 ----> uni81FA	臺
33275 ----> uni81FB	臻
33276 ----> uni81FC	臼
33278 ----> uni81FE	臾
33279 ----> uni81FF	臿
33280 ----> uni8200	舀
33281 ----> uni8201	舁
33282 ----> uni8202	舂
33284 ----> uni8204	舄
33285 ----> uni8205	舅
33287 ----> uni8207	與
33288 ----> uni8208	興
33289 ----> uni8209	舉
33290 ----> uni820A	舊
33291 ----> uni820B	舋
33292 ----> uni820C	舌
33293 ----> uni820D	舍
33296 ----> uni8210	舐
33297 ----> uni8211	舑
33298 ----> uni8212	舒
33300 ----> uni8214	舔
33301 ----> uni8215	舕
33302 ----> uni8216	舖
33304 ----> uni8218	舘
33306 ----> uni821A	舚
33307 ----> uni821B	舛
33308 ----> uni821C	舜
33309 ----> uni821D	舝
33310 ----> uni821E	舞
33311 ----> uni821F	舟
33312 ----> uni8220	舠
33313 ----> uni8221	舡
33314 ----> uni8222	舢
33317 ----> uni8225	舥
33318 ----> uni8226	舦
33320 ----> uni8228	舨
33322 ----> uni822A	航
33323 ----> uni822B	舫
33324 ----> uni822C	般
33327 ----> uni822F	舯
33330 ----> uni8232	舲
33331 ----> uni8233	舳
33332 ----> uni8234	舴
33333 ----> uni8235	舵
33334 ----> uni8236	舶
33335 ----> uni8237	舷
33336 ----> uni8238	舸
33337 ----> uni8239	船
33338 ----> uni823A	舺
33340 ----> uni823C	舼
33341 ----> uni823D	舽
33343 ----> uni823F	舿
33344 ----> uni8240	艀
33346 ----> uni8242	艂
33348 ----> uni8244	艄
33349 ----> uni8245	艅
33351 ----> uni8247	艇
33353 ----> uni8249	艉
33355 ----> uni824B	艋
33358 ----> uni824E	艎
33359 ----> uni824F	艏
33360 ----> uni8250	艐
33361 ----> uni8251	艑
33362 ----> uni8252	艒
33363 ----> uni8253	艓
33365 ----> uni8255	艕
33366 ----> uni8256	艖
33367 ----> uni8257	艗
33368 ----> uni8258	艘
33369 ----> uni8259	艙
33370 ----> uni825A	艚
33371 ----> uni825B	艛
33372 ----> uni825C	艜
33374 ----> uni825E	艞
33375 ----> uni825F	艟
33377 ----> uni8261	艡
33378 ----> uni8262	艢
33379 ----> uni8263	艣
33380 ----> uni8264	艤
33382 ----> uni8266	艦
33384 ----> uni8268	艨
33385 ----> uni8269	艩
33387 ----> uni826B	艫
33388 ----> uni826C	艬
33389 ----> uni826D	艭
33390 ----> uni826E	艮
33391 ----> uni826F	良
33393 ----> uni8271	艱
33394 ----> uni8272	色
33396 ----> uni8274	艴
33397 ----> uni8275	艵
33399 ----> uni8277	艷
33400 ----> uni8278	艸
33404 ----> uni827C	艼
33405 ----> uni827D	艽
33406 ----> uni827E	艾
33407 ----> uni827F	艿
33408 ----> uni8280	芀
33411 ----> uni8283	芃
33412 ----> uni8284	芄
33413 ----> uni8285	芅
33418 ----> uni828A	芊
33419 ----> uni828B	芋
33421 ----> uni828D	芍
33422 ----> uni828E	芎
33423 ----> uni828F	芏
33424 ----> uni8290	芐
33425 ----> uni8291	芑
33426 ----> uni8292	芒
33427 ----> uni8293	芓
33428 ----> uni8294	芔
33432 ----> uni8298	芘
33433 ----> uni8299	芙
33434 ----> uni829A	芚
33435 ----> uni829B	芛
33437 ----> uni829D	芝
33438 ----> uni829E	芞
33439 ----> uni829F	芟
33440 ----> uni82A0	芠
33441 ----> uni82A1	芡
33442 ----> uni82A2	芢
33443 ----> uni82A3	芣
33444 ----> uni82A4	芤
33445 ----> uni82A5	芥
33446 ----> uni82A6	芦
33447 ----> uni82A7	芧
33448 ----> uni82A8	芨
33449 ----> uni82A9	芩
33450 ----> uni82AA	芪
33451 ----> uni82AB	芫
33452 ----> uni82AC	芬
33453 ----> uni82AD	芭
33454 ----> uni82AE	芮
33455 ----> uni82AF	芯
33456 ----> uni82B0	芰
33457 ----> uni82B1	花
33459 ----> uni82B3	芳
33460 ----> uni82B4	芴
33461 ----> uni82B5	芵
33462 ----> uni82B6	芶
33463 ----> uni82B7	芷
33464 ----> uni82B8	芸
33465 ----> uni82B9	芹
33466 ----> uni82BA	芺
33467 ----> uni82BB	芻
33468 ----> uni82BC	芼
33469 ----> uni82BD	芽
33470 ----> uni82BE	芾
33472 ----> uni82C0	苀
33474 ----> uni82C2	苂
33475 ----> uni82C3	苃
33488 ----> uni82D0	苐
33489 ----> uni82D1	苑
33490 ----> uni82D2	苒
33491 ----> uni82D3	苓
33492 ----> uni82D4	苔
33493 ----> uni82D5	苕
33494 ----> uni82D6	苖
33495 ----> uni82D7	苗
33497 ----> uni82D9	苙
33499 ----> uni82DB	苛
33500 ----> uni82DC	苜
33502 ----> uni82DE	苞
33503 ----> uni82DF	苟
33504 ----> uni82E0	苠
33505 ----> uni82E1	苡
33507 ----> uni82E3	苣
33508 ----> uni82E4	苤
33509 ----> uni82E5	若
33510 ----> uni82E6	苦
33511 ----> uni82E7	苧
33512 ----> uni82E8	苨
33514 ----> uni82EA	苪
33515 ----> uni82EB	苫
33516 ----> uni82EC	苬
33517 ----> uni82ED	苭
33519 ----> uni82EF	苯
33520 ----> uni82F0	苰
33521 ----> uni82F1	英
33522 ----> uni82F2	苲
33523 ----> uni82F3	苳
33524 ----> uni82F4	苴
33525 ----> uni82F5	苵
33526 ----> uni82F6	苶
33527 ----> uni82F7	苷
33529 ----> uni82F9	苹
33530 ----> uni82FA	苺
33531 ----> uni82FB	苻
33533 ----> uni82FD	苽
33534 ----> uni82FE	苾
33536 ----> uni8300	茀
33537 ----> uni8301	茁
33538 ----> uni8302	茂
33539 ----> uni8303	范
33540 ----> uni8304	茄
33541 ----> uni8305	茅
33542 ----> uni8306	茆
33543 ----> uni8307	茇
33544 ----> uni8308	茈
33545 ----> uni8309	茉
33548 ----> uni830C	茌
33549 ----> uni830D	茍
33558 ----> uni8316	茖
33559 ----> uni8317	茗
33561 ----> uni8319	茙
33563 ----> uni831B	茛
33564 ----> uni831C	茜
33566 ----> uni831E	茞
33568 ----> uni8320	茠
33570 ----> uni8322	茢
33572 ----> uni8324	茤
33573 ----> uni8325	茥
33574 ----> uni8326	茦
33575 ----> uni8327	茧
33576 ----> uni8328	茨
33577 ----> uni8329	茩
33578 ----> uni832A	茪
33579 ----> uni832B	茫
33580 ----> uni832C	茬
33581 ----> uni832D	茭
33583 ----> uni832F	茯
33585 ----> uni8331	茱
33586 ----> uni8332	茲
33587 ----> uni8333	茳
33588 ----> uni8334	茴
33589 ----> uni8335	茵
33590 ----> uni8336	茶
33591 ----> uni8337	茷
33592 ----> uni8338	茸
33593 ----> uni8339	茹
33594 ----> uni833A	茺
33595 ----> uni833B	茻
33596 ----> uni833C	茼
33599 ----> uni833F	茿
33600 ----> uni8340	荀
33601 ----> uni8341	荁
33602 ----> uni8342	荂
33603 ----> uni8343	荃
33604 ----> uni8344	荄
33605 ----> uni8345	荅
33607 ----> uni8347	荇
33608 ----> uni8348	荈
33609 ----> uni8349	草
33610 ----> uni834A	荊
33611 ----> uni834B	荋
33612 ----> uni834C	荌
33613 ----> uni834D	荍
33614 ----> uni834E	荎
33615 ----> uni834F	荏
33616 ----> uni8350	荐
33617 ----> uni8351	荑
33618 ----> uni8352	荒
33619 ----> uni8353	荓
33620 ----> uni8354	荔
33622 ----> uni8356	荖
33651 ----> uni8373	荳
33652 ----> uni8374	荴
33653 ----> uni8375	荵
33654 ----> uni8376	荶
33655 ----> uni8377	荷
33656 ----> uni8378	荸
33658 ----> uni837A	荺
33659 ----> uni837B	荻
33660 ----> uni837C	荼
33661 ----> uni837D	荽
33662 ----> uni837E	荾
33663 ----> uni837F	荿
33665 ----> uni8381	莁
33667 ----> uni8383	莃
33669 ----> uni8385	莅
33670 ----> uni8386	莆
33671 ----> uni8387	莇
33672 ----> uni8388	莈
33673 ----> uni8389	莉
33674 ----> uni838A	莊
33675 ----> uni838B	莋
33676 ----> uni838C	莌
33677 ----> uni838D	莍
33678 ----> uni838E	莎
33679 ----> uni838F	莏
33680 ----> uni8390	莐
33682 ----> uni8392	莒
33683 ----> uni8393	莓
33684 ----> uni8394	莔
33685 ----> uni8395	莕
33686 ----> uni8396	莖
33687 ----> uni8397	莗
33688 ----> uni8398	莘
33689 ----> uni8399	莙
33690 ----> uni839A	莚
33691 ----> uni839B	莛
33693 ----> uni839D	莝
33694 ----> uni839E	莞
33696 ----> uni83A0	莠
33698 ----> uni83A2	莢
33699 ----> uni83A3	莣
33700 ----> uni83A4	莤
33701 ----> uni83A5	莥
33702 ----> uni83A6	莦
33703 ----> uni83A7	莧
33704 ----> uni83A8	莨
33705 ----> uni83A9	莩
33706 ----> uni83AA	莪
33707 ----> uni83AB	莫
33710 ----> uni83AE	莮
33711 ----> uni83AF	莯
33712 ----> uni83B0	莰
33725 ----> uni83BD	莽
33726 ----> uni83BE	莾
33727 ----> uni83BF	莿
33728 ----> uni83C0	菀
33729 ----> uni83C1	菁
33730 ----> uni83C2	菂
33731 ----> uni83C3	菃
33732 ----> uni83C4	菄
33733 ----> uni83C5	菅
33734 ----> uni83C6	菆
33735 ----> uni83C7	菇
33736 ----> uni83C8	菈
33737 ----> uni83C9	菉
33738 ----> uni83CA	菊
33739 ----> uni83CB	菋
33740 ----> uni83CC	菌
33742 ----> uni83CE	菎
33743 ----> uni83CF	菏
33745 ----> uni83D1	菑
33747 ----> uni83D3	菓
33748 ----> uni83D4	菔
33749 ----> uni83D5	菕
33750 ----> uni83D6	菖
33751 ----> uni83D7	菗
33752 ----> uni83D8	菘
33753 ----> uni83D9	菙
33755 ----> uni83DB	菛
33756 ----> uni83DC	菜
33757 ----> uni83DD	菝
33758 ----> uni83DE	菞
33759 ----> uni83DF	菟
33760 ----> uni83E0	菠
33761 ----> uni83E1	菡
33762 ----> uni83E2	菢
33763 ----> uni83E3	菣
33764 ----> uni83E4	菤
33765 ----> uni83E5	菥
33767 ----> uni83E7	菧
33768 ----> uni83E8	菨
33769 ----> uni83E9	菩
33770 ----> uni83EA	菪
33771 ----> uni83EB	菫
33772 ----> uni83EC	菬
33774 ----> uni83EE	菮
33775 ----> uni83EF	華
33776 ----> uni83F0	菰
33777 ----> uni83F1	菱
33778 ----> uni83F2	菲
33779 ----> uni83F3	菳
33780 ----> uni83F4	菴
33781 ----> uni83F5	菵
33782 ----> uni83F6	菶
33784 ----> uni83F8	菸
33785 ----> uni83F9	菹
33786 ----> uni83FA	菺
33787 ----> uni83FB	菻
33788 ----> uni83FC	菼
33789 ----> uni83FD	菽
33790 ----> uni83FE	菾
33791 ----> uni83FF	菿
33793 ----> uni8401	萁
33795 ----> uni8403	萃
33796 ----> uni8404	萄
33798 ----> uni8406	萆
33799 ----> uni8407	萇
33801 ----> uni8409	萉
33802 ----> uni840A	萊
33803 ----> uni840B	萋
33804 ----> uni840C	萌
33805 ----> uni840D	萍
33806 ----> uni840E	萎
33807 ----> uni840F	萏
33808 ----> uni8410	萐
33809 ----> uni8411	萑
33810 ----> uni8412	萒
33811 ----> uni8413	萓
33816 ----> uni8418	萘
33819 ----> uni841B	萛
33824 ----> uni8420	萠
33827 ----> uni8423	萣
33833 ----> uni8429	萩
33835 ----> uni842B	萫
33836 ----> uni842C	萬
33837 ----> uni842D	萭
33839 ----> uni842F	萯
33840 ----> uni8430	萰
33841 ----> uni8431	萱
33842 ----> uni8432	萲
33843 ----> uni8433	萳
33844 ----> uni8434	萴
33845 ----> uni8435	萵
33846 ----> uni8436	萶
33847 ----> uni8437	萷
33848 ----> uni8438	萸
33849 ----> uni8439	萹
33850 ----> uni843A	萺
33851 ----> uni843B	萻
33852 ----> uni843C	萼
33853 ----> uni843D	落
33855 ----> uni843F	萿
33856 ----> uni8440	葀
33858 ----> uni8442	葂
33859 ----> uni8443	葃
33860 ----> uni8444	葄
33861 ----> uni8445	葅
33862 ----> uni8446	葆
33863 ----> uni8447	葇
33865 ----> uni8449	葉
33867 ----> uni844B	葋
33868 ----> uni844C	葌
33869 ----> uni844D	葍
33870 ----> uni844E	葎
33872 ----> uni8450	葐
33873 ----> uni8451	葑
33874 ----> uni8452	葒
33876 ----> uni8454	葔
33878 ----> uni8456	葖
33879 ----> uni8457	著
33881 ----> uni8459	葙
33882 ----> uni845A	葚
33883 ----> uni845B	葛
33885 ----> uni845D	葝
33886 ----> uni845E	葞
33887 ----> uni845F	葟
33888 ----> uni8460	葠
33889 ----> uni8461	葡
33891 ----> uni8463	董
33893 ----> uni8465	葥
33894 ----> uni8466	葦
33895 ----> uni8467	葧
33896 ----> uni8468	葨
33897 ----> uni8469	葩
33899 ----> uni846B	葫
33900 ----> uni846C	葬
33901 ----> uni846D	葭
33902 ----> uni846E	葮
33903 ----> uni846F	葯
33904 ----> uni8470	葰
33905 ----> uni8471	葱
33907 ----> uni8473	葳
33908 ----> uni8474	葴
33909 ----> uni8475	葵
33910 ----> uni8476	葶
33911 ----> uni8477	葷
33912 ----> uni8478	葸
33913 ----> uni8479	葹
33914 ----> uni847A	葺
33917 ----> uni847D	葽
33918 ----> uni847E	葾
33922 ----> uni8482	蒂
33926 ----> uni8486	蒆
33933 ----> uni848D	蒍
33934 ----> uni848E	蒎
33935 ----> uni848F	蒏
33936 ----> uni8490	蒐
33937 ----> uni8491	蒑
33940 ----> uni8494	蒔
33943 ----> uni8497	蒗
33944 ----> uni8498	蒘
33945 ----> uni8499	蒙
33946 ----> uni849A	蒚
33947 ----> uni849B	蒛
33948 ----> uni849C	蒜
33949 ----> uni849D	蒝
33950 ----> uni849E	蒞
33951 ----> uni849F	蒟
33952 ----> uni84A0	蒠
33953 ----> uni84A1	蒡
33954 ----> uni84A2	蒢
33956 ----> uni84A4	蒤
33959 ----> uni84A7	蒧
33960 ----> uni84A8	蒨
33961 ----> uni84A9	蒩
33962 ----> uni84AA	蒪
33963 ----> uni84AB	蒫
33964 ----> uni84AC	蒬
33965 ----> uni84AD	蒭
33966 ----> uni84AE	蒮
33967 ----> uni84AF	蒯
33968 ----> uni84B0	蒰
33969 ----> uni84B1	蒱
33970 ----> uni84B2	蒲
33972 ----> uni84B4	蒴
33974 ----> uni84B6	蒶
33976 ----> uni84B8	蒸
33977 ----> uni84B9	蒹
33978 ----> uni84BA	蒺
33979 ----> uni84BB	蒻
33980 ----> uni84BC	蒼
33981 ----> uni84BD	蒽
33983 ----> uni84BF	蒿
33984 ----> uni84C0	蓀
33985 ----> uni84C1	蓁
33986 ----> uni84C2	蓂
33988 ----> uni84C4	蓄
33989 ----> uni84C5	蓅
33990 ----> uni84C6	蓆
33991 ----> uni84C7	蓇
33993 ----> uni84C9	蓉
33994 ----> uni84CA	蓊
33995 ----> uni84CB	蓋
33996 ----> uni84CC	蓌
33997 ----> uni84CD	蓍
33998 ----> uni84CE	蓎
33999 ----> uni84CF	蓏
34000 ----> uni84D0	蓐
34001 ----> uni84D1	蓑
34002 ----> uni84D2	蓒
34003 ----> uni84D3	蓓
34004 ----> uni84D4	蓔
34006 ----> uni84D6	蓖
34007 ----> uni84D7	蓗
34010 ----> uni84DA	蓚
34011 ----> uni84DB	蓛
34023 ----> uni84E7	蓧
34024 ----> uni84E8	蓨
34025 ----> uni84E9	蓩
34026 ----> uni84EA	蓪
34027 ----> uni84EB	蓫
34028 ----> uni84EC	蓬
34030 ----> uni84EE	蓮
34031 ----> uni84EF	蓯
34032 ----> uni84F0	蓰
34033 ----> uni84F1	蓱
34034 ----> uni84F2	蓲
34035 ----> uni84F3	蓳
34036 ----> uni84F4	蓴
34038 ----> uni84F6	蓶
34039 ----> uni84F7	蓷
34041 ----> uni84F9	蓹
34042 ----> uni84FA	蓺
34043 ----> uni84FB	蓻
34044 ----> uni84FC	蓼
34045 ----> uni84FD	蓽
34046 ----> uni84FE	蓾
34047 ----> uni84FF	蓿
34048 ----> uni8500	蔀
34050 ----> uni8502	蔂
34054 ----> uni8506	蔆
34055 ----> uni8507	蔇
34056 ----> uni8508	蔈
34057 ----> uni8509	蔉
34058 ----> uni850A	蔊
34059 ----> uni850B	蔋
34060 ----> uni850C	蔌
34061 ----> uni850D	蔍
34062 ----> uni850E	蔎
34063 ----> uni850F	蔏
34065 ----> uni8511	蔑
34066 ----> uni8512	蔒
34067 ----> uni8513	蔓
34068 ----> uni8514	蔔
34069 ----> uni8515	蔕
34070 ----> uni8516	蔖
34071 ----> uni8517	蔗
34072 ----> uni8518	蔘
34073 ----> uni8519	蔙
34074 ----> uni851A	蔚
34076 ----> uni851C	蔜
34077 ----> uni851D	蔝
34078 ----> uni851E	蔞
34079 ----> uni851F	蔟
34080 ----> uni8520	蔠
34081 ----> uni8521	蔡
34083 ----> uni8523	蔣
34084 ----> uni8524	蔤
34085 ----> uni8525	蔥
34086 ----> uni8526	蔦
34087 ----> uni8527	蔧
34088 ----> uni8528	蔨
34089 ----> uni8529	蔩
34090 ----> uni852A	蔪
34091 ----> uni852B	蔫
34092 ----> uni852C	蔬
34093 ----> uni852D	蔭
34094 ----> uni852E	蔮
34095 ----> uni852F	蔯
34096 ----> uni8530	蔰
34097 ----> uni8531	蔱
34100 ----> uni8534	蔴
34107 ----> uni853B	蔻
34109 ----> uni853D	蔽
34110 ----> uni853E	蔾
34112 ----> uni8540	蕀
34113 ----> uni8541	蕁
34115 ----> uni8543	蕃
34116 ----> uni8544	蕄
34117 ----> uni8545	蕅
34118 ----> uni8546	蕆
34119 ----> uni8547	蕇
34120 ----> uni8548	蕈
34121 ----> uni8549	蕉
34122 ----> uni854A	蕊
34123 ----> uni854B	蕋
34125 ----> uni854D	蕍
34126 ----> uni854E	蕎
34129 ----> uni8551	蕑
34131 ----> uni8553	蕓
34132 ----> uni8554	蕔
34133 ----> uni8555	蕕
34134 ----> uni8556	蕖
34135 ----> uni8557	蕗
34136 ----> uni8558	蕘
34137 ----> uni8559	蕙
34139 ----> uni855B	蕛
34141 ----> uni855D	蕝
34142 ----> uni855E	蕞
34144 ----> uni8560	蕠
34145 ----> uni8561	蕡
34146 ----> uni8562	蕢
34147 ----> uni8563	蕣
34148 ----> uni8564	蕤
34149 ----> uni8565	蕥
34150 ----> uni8566	蕦
34151 ----> uni8567	蕧
34152 ----> uni8568	蕨
34153 ----> uni8569	蕩
34154 ----> uni856A	蕪
34155 ----> uni856B	蕫
34156 ----> uni856C	蕬
34157 ----> uni856D	蕭
34158 ----> uni856E	蕮
34161 ----> uni8571	蕱
34165 ----> uni8575	蕵
34166 ----> uni8576	蕶
34167 ----> uni8577	蕷
34168 ----> uni8578	蕸
34169 ----> uni8579	蕹
34170 ----> uni857A	蕺
34171 ----> uni857B	蕻
34172 ----> uni857C	蕼
34174 ----> uni857E	蕾
34176 ----> uni8580	薀
34177 ----> uni8581	薁
34178 ----> uni8582	薂
34179 ----> uni8583	薃
34180 ----> uni8584	薄
34181 ----> uni8585	薅
34182 ----> uni8586	薆
34183 ----> uni8587	薇
34184 ----> uni8588	薈
34185 ----> uni8589	薉
34186 ----> uni858A	薊
34187 ----> uni858B	薋
34188 ----> uni858C	薌
34189 ----> uni858D	薍
34190 ----> uni858E	薎
34191 ----> uni858F	薏
34192 ----> uni8590	薐
34193 ----> uni8591	薑
34196 ----> uni8594	薔
34197 ----> uni8595	薕
34198 ----> uni8596	薖
34200 ----> uni8598	薘
34201 ----> uni8599	薙
34202 ----> uni859A	薚
34203 ----> uni859B	薛
34204 ----> uni859C	薜
34205 ----> uni859D	薝
34206 ----> uni859E	薞
34207 ----> uni859F	薟
34208 ----> uni85A0	薠
34209 ----> uni85A1	薡
34210 ----> uni85A2	薢
34211 ----> uni85A3	薣
34212 ----> uni85A4	薤
34214 ----> uni85A6	薦
34215 ----> uni85A7	薧
34216 ----> uni85A8	薨
34217 ----> uni85A9	薩
34218 ----> uni85AA	薪
34223 ----> uni85AF	薯
34224 ----> uni85B0	薰
34225 ----> uni85B1	薱
34227 ----> uni85B3	薳
34228 ----> uni85B4	薴
34229 ----> uni85B5	薵
34230 ----> uni85B6	薶
34231 ----> uni85B7	薷
34232 ----> uni85B8	薸
34233 ----> uni85B9	薹
34234 ----> uni85BA	薺
34237 ----> uni85BD	薽
34238 ----> uni85BE	薾
34239 ----> uni85BF	薿
34240 ----> uni85C0	藀
34242 ----> uni85C2	藂
34243 ----> uni85C3	藃
34244 ----> uni85C4	藄
34245 ----> uni85C5	藅
34246 ----> uni85C6	藆
34247 ----> uni85C7	藇
34248 ----> uni85C8	藈
34249 ----> uni85C9	藉
34251 ----> uni85CB	藋
34253 ----> uni85CD	藍
34254 ----> uni85CE	藎
34255 ----> uni85CF	藏
34256 ----> uni85D0	藐
34257 ----> uni85D1	藑
34258 ----> uni85D2	藒
34261 ----> uni85D5	藕
34263 ----> uni85D7	藗
34264 ----> uni85D8	藘
34265 ----> uni85D9	藙
34266 ----> uni85DA	藚
34268 ----> uni85DC	藜
34269 ----> uni85DD	藝
34270 ----> uni85DE	藞
34271 ----> uni85DF	藟
34273 ----> uni85E1	藡
34274 ----> uni85E2	藢
34275 ----> uni85E3	藣
34276 ----> uni85E4	藤
34277 ----> uni85E5	藥
34278 ----> uni85E6	藦
34280 ----> uni85E8	藨
34281 ----> uni85E9	藩
34282 ----> uni85EA	藪
34283 ----> uni85EB	藫
34284 ----> uni85EC	藬
34285 ----> uni85ED	藭
34287 ----> uni85EF	藯
34288 ----> uni85F0	藰
34289 ----> uni85F1	藱
34290 ----> uni85F2	藲
34294 ----> uni85F6	藶
34295 ----> uni85F7	藷
34296 ----> uni85F8	藸
34297 ----> uni85F9	藹
34298 ----> uni85FA	藺
34299 ----> uni85FB	藻
34301 ----> uni85FD	藽
34302 ----> uni85FE	藾
34303 ----> uni85FF	藿
34304 ----> uni8600	蘀
34305 ----> uni8601	蘁
34306 ----> uni8602	蘂
34308 ----> uni8604	蘄
34309 ----> uni8605	蘅
34310 ----> uni8606	蘆
34311 ----> uni8607	蘇
34313 ----> uni8609	蘉
34314 ----> uni860A	蘊
34315 ----> uni860B	蘋
34316 ----> uni860C	蘌
34320 ----> uni8610	蘐
34321 ----> uni8611	蘑
34327 ----> uni8617	蘗
34328 ----> uni8618	蘘
34329 ----> uni8619	蘙
34330 ----> uni861A	蘚
34331 ----> uni861B	蘛
34332 ----> uni861C	蘜
34334 ----> uni861E	蘞
34335 ----> uni861F	蘟
34336 ----> uni8620	蘠
34337 ----> uni8621	蘡
34338 ----> uni8622	蘢
34339 ----> uni8623	蘣
34340 ----> uni8624	蘤
34341 ----> uni8625	蘥
34342 ----> uni8626	蘦
34343 ----> uni8627	蘧
34345 ----> uni8629	蘩
34346 ----> uni862A	蘪
34348 ----> uni862C	蘬
34349 ----> uni862D	蘭
34350 ----> uni862E	蘮
34351 ----> uni862F	蘯
34353 ----> uni8631	蘱
34354 ----> uni8632	蘲
34355 ----> uni8633	蘳
34356 ----> uni8634	蘴
