1 ----> uni0001	
15835 ----> uni3DDB	㷛
16485 ----> uni4065	䁥
17591 ----> uni44B7	䒷
17642 ----> uni44EA	䓪
17935 ----> uni460F	䘏
18825 ----> uni4989	䦉
19326 ----> uni4B7E	䭾
19460 ----> uni4C04	䰄
19463 ----> uni4C07	䰇
19515 ----> uni4C3B	䰻
19581 ----> uni4C7D	䱽
19968 ----> uni3192	一
19969 ----> uni319C	丁
19971 ----> uni3226	七
19975 ----> uni4E07	万
19976 ----> uni4E08	丈
19977 ----> uni3194	三
19978 ----> uni3196	上
19979 ----> uni3198	下
19980 ----> uni4E0C	丌
19981 ----> uni4E0D	不
19982 ----> uni4E0E	与
19983 ----> uni4E0F	丏
19984 ----> uni4E10	丐
19985 ----> uni4E11	丑
19988 ----> uni4E14	且
19989 ----> uni4E15	丕
19990 ----> uni4E16	世
19992 ----> uni4E18	丘
19993 ----> uni319B	丙
19998 ----> uni4E1E	丞
19999 ----> uni4E1F	丟
20001 ----> uni4E21	両
20006 ----> uni4E26	並
20010 ----> uni4E2A	个
20011 ----> uni4E2B	丫
20013 ----> uni3197	中
20014 ----> uni4E2E	丮
20016 ----> uni4E30	丰
20017 ----> uni4E31	丱
20018 ----> uni4E32	串
20019 ----> uni4E33	丳
20022 ----> uni4E36	丶
20024 ----> uni4E38	丸
20025 ----> uni4E39	丹
20027 ----> uni4E3B	主
20028 ----> uni4E3C	丼
20031 ----> uni4E3F	丿
20034 ----> uni4E42	乂
20035 ----> uni4E43	乃
20037 ----> uni4E45	久
20039 ----> uni4E47	乇
20040 ----> uni4E48	么
20043 ----> uni4E4B	之
20045 ----> uni4E4D	乍
20046 ----> uni4E4E	乎
20047 ----> uni4E4F	乏
20050 ----> uni4E52	乒
20051 ----> uni4E53	乓
20054 ----> uni4E56	乖
20056 ----> uni4E58	乘
20057 ----> uni319A	乙
20058 ----> uni4E5A	乚
20060 ----> uni4E5C	乜
20061 ----> uni3228	九
20062 ----> uni4E5E	乞
20063 ----> uni4E5F	也
20073 ----> uni4E69	乩
20083 ----> uni4E73	乳
20088 ----> uni4E78	乸
20094 ----> uni4E7E	乾
20095 ----> uni4E7F	乿
20098 ----> uni4E82	亂
20099 ----> uni4E83	亃
20100 ----> uni4E84	亄
20101 ----> uni4E85	亅
20102 ----> uni4E86	了
20104 ----> uni4E88	予
20107 ----> uni4E8B	事
20108 ----> uni3193	二
20109 ----> uni4E8D	亍
20110 ----> uni4E8E	于
20113 ----> uni4E91	云
20114 ----> uni4E92	互
20115 ----> uni4E93	亓
20116 ----> uni3224	五
20117 ----> uni4E95	井
20120 ----> uni4E98	亘
20121 ----> uni4E99	亙
20123 ----> uni4E9B	些
20126 ----> uni4E9E	亞
20127 ----> uni4E9F	亟
20128 ----> uni4EA0	亠
20129 ----> uni4EA1	亡
20130 ----> uni4EA2	亢
20132 ----> uni4EA4	交
20133 ----> uni4EA5	亥
20134 ----> uni4EA6	亦
20136 ----> uni4EA8	亨
20139 ----> uni4EAB	享
20140 ----> uni4EAC	京
20141 ----> uni4EAD	亭
20142 ----> uni4EAE	亮
20147 ----> uni4EB3	亳
20150 ----> uni4EB6	亶
20153 ----> uni4EB9	亹
20154 ----> uni319F	人
20160 ----> uni4EC0	什
20161 ----> uni4EC1	仁
20162 ----> uni4EC2	仂
20163 ----> uni4EC3	仃
20164 ----> uni4EC4	仄
20166 ----> uni4EC6	仆
20167 ----> uni4EC7	仇
20168 ----> uni4EC8	仈
20169 ----> uni4EC9	仉
20170 ----> uni4ECA	今
20171 ----> uni4ECB	介
20173 ----> uni4ECD	仍
20174 ----> uni4ECE	从
20180 ----> uni4ED4	仔
20181 ----> uni4ED5	仕
20182 ----> uni4ED6	他
20183 ----> uni4ED7	仗
20184 ----> uni4ED8	付
20185 ----> uni4ED9	仙
20186 ----> uni4EDA	仚
20188 ----> uni4EDC	仜
20189 ----> uni4EDD	仝
20190 ----> uni4EDE	仞
20191 ----> uni4EDF	仟
20193 ----> uni4EE1	仡
20195 ----> uni3239	代
20196 ----> uni4EE4	令
20197 ----> uni4EE5	以
20200 ----> uni4EE8	仨
20201 ----> uni4EE9	仩
20206 ----> uni4EEE	仮
20208 ----> uni4EF0	仰
20209 ----> uni4EF1	仱
20210 ----> uni4EF2	仲
20211 ----> uni4EF3	仳
20212 ----> uni4EF4	仴
20213 ----> uni4EF5	仵
20214 ----> uni4EF6	件
20215 ----> uni4EF7	价
20219 ----> uni4EFB	任
20221 ----> uni4EFD	份
20223 ----> uni4EFF	仿
20224 ----> uni4F00	伀
20225 ----> uni323D	企
20226 ----> uni4F02	伂
20227 ----> uni4F03	伃
20228 ----> uni4F04	伄
20229 ----> uni4F05	伅
20232 ----> uni4F08	伈
20233 ----> uni4F09	伉
20234 ----> uni4F0A	伊
20235 ----> uni4F0B	伋
20237 ----> uni4F0D	伍
20238 ----> uni4F0E	伎
20239 ----> uni4F0F	伏
20240 ----> uni4F10	伐
20241 ----> uni3241	休
20242 ----> uni4F12	伒
20243 ----> uni4F13	伓
20244 ----> uni4F14	伔
20245 ----> uni4F15	伕
20248 ----> uni4F18	优
20249 ----> uni4F19	伙
20253 ----> uni4F1D	伝
20258 ----> uni4F22	伢
20268 ----> uni4F2C	伬
20269 ----> uni4F2D	伭
20271 ----> uni4F2F	伯
