12511 ----> uni30DF	ミ
12512 ----> uni30E0	ム
12513 ----> uni30E1	メ
12514 ----> uni30E2	モ
12515 ----> uni30E3	ャ
12516 ----> uni30E4	ヤ
12517 ----> uni30E5	ュ
12518 ----> uni30E6	ユ
12519 ----> uni30E7	ョ
12520 ----> uni30E8	ヨ
12521 ----> uni30E9	ラ
12522 ----> uni30EA	リ
12523 ----> uni30EB	ル
12524 ----> uni30EC	レ
12525 ----> uni30ED	ロ
12526 ----> uni30EE	ヮ
12527 ----> uni30EF	ワ
12528 ----> uni30F0	ヰ
12529 ----> uni30F1	ヱ
12530 ----> uni30F2	ヲ
12531 ----> uni30F3	ン
12532 ----> uni30F4	ヴ
12533 ----> uni30F5	ヵ
12534 ----> uni30F6	ヶ
12549 ----> uni3105	ㄅ
12550 ----> uni3106	ㄆ
12551 ----> uni3107	ㄇ
12552 ----> uni3108	ㄈ
12553 ----> uni3109	ㄉ
12554 ----> uni310A	ㄊ
12555 ----> uni310B	ㄋ
12556 ----> uni310C	ㄌ
12557 ----> uni310D	ㄍ
12558 ----> uni310E	ㄎ
12559 ----> uni310F	ㄏ
12560 ----> uni3110	ㄐ
12561 ----> uni3111	ㄑ
12562 ----> uni3112	ㄒ
12563 ----> uni3113	ㄓ
12564 ----> uni3114	ㄔ
12565 ----> uni3115	ㄕ
12566 ----> uni3116	ㄖ
12567 ----> uni3117	ㄗ
12568 ----> uni3118	ㄘ
12569 ----> uni3119	ㄙ
12570 ----> uni311A	ㄚ
12571 ----> uni311B	ㄛ
12572 ----> uni311C	ㄜ
12573 ----> uni311D	ㄝ
12574 ----> uni311E	ㄞ
12575 ----> uni311F	ㄟ
12576 ----> uni3120	ㄠ
12577 ----> uni3121	ㄡ
12578 ----> uni3122	ㄢ
12579 ----> uni3123	ㄣ
12580 ----> uni3124	ㄤ
12581 ----> uni3125	ㄥ
12582 ----> uni3126	ㄦ
12583 ----> uni3127	ㄧ
12584 ----> uni3128	ㄨ
12585 ----> uni3129	ㄩ
12832 ----> uni3220	㈠
12833 ----> uni3221	㈡
12834 ----> uni3222	㈢
12835 ----> uni3223	㈣
12836 ----> uni3224	㈤
12837 ----> uni3225	㈥
12838 ----> uni3226	㈦
12839 ----> uni3227	㈧
12840 ----> uni3228	㈨
12841 ----> uni3229	㈩
19968 ----> uni4E00	一
19969 ----> uni4E01	丁
19971 ----> uni4E03	七
19975 ----> uni4E07	万
19976 ----> uni4E08	丈
19977 ----> uni4E09	三
19978 ----> uni4E0A	上
19979 ----> uni4E0B	下
19980 ----> uni4E0C	丌
19981 ----> uni4E0D	不
19984 ----> uni4E10	丐
19985 ----> uni4E11	丑
19988 ----> uni4E14	且
19989 ----> uni4E15	丕
19990 ----> uni4E16	世
19992 ----> uni4E18	丘
19993 ----> uni4E19	丙
19998 ----> uni4E1E	丞
20002 ----> uni4E22	丢
20008 ----> uni4E28	丨
20011 ----> uni4E2B	丫
20012 ----> uni4E2C	丬
20013 ----> uni4E2D	中
20016 ----> uni4E30	丰
20018 ----> uni4E32	串
20022 ----> uni4E36	丶
20024 ----> uni4E38	丸
20025 ----> uni4E39	丹
20027 ----> uni4E3B	主
20031 ----> uni4E3F	丿
20035 ----> uni4E43	乃
20037 ----> uni4E45	久
20039 ----> uni4E47	乇
20040 ----> uni4E48	么
20043 ----> uni4E4B	之
20045 ----> uni4E4D	乍
20046 ----> uni4E4E	乎
20047 ----> uni4E4F	乏
20050 ----> uni4E52	乒
20051 ----> uni4E53	乓
20054 ----> uni4E56	乖
20056 ----> uni4E58	乘
20057 ----> uni4E59	乙
20060 ----> uni4E5C	乜
20061 ----> uni4E5D	九
20062 ----> uni4E5E	乞
20063 ----> uni4E5F	也
20073 ----> uni4E69	乩
20083 ----> uni4E73	乳
20094 ----> uni4E7E	乾
20098 ----> uni4E82	亂
20102 ----> uni4E86	了
20104 ----> uni4E88	予
20105 ----> uni4E89	争
20107 ----> uni4E8B	事
20108 ----> uni4E8C	二
20109 ----> uni4E8D	亍
20110 ----> uni4E8E	于
20113 ----> uni4E91	云
20114 ----> uni4E92	互
20115 ----> uni4E93	亓
20116 ----> uni4E94	五
20117 ----> uni4E95	井
20120 ----> uni4E98	亘
20123 ----> uni4E9B	些
20126 ----> uni4E9E	亞
20127 ----> uni4E9F	亟
20128 ----> uni4EA0	亠
20129 ----> uni4EA1	亡
20130 ----> uni4EA2	亢
20132 ----> uni4EA4	交
20133 ----> uni4EA5	亥
20134 ----> uni4EA6	亦
20136 ----> uni4EA8	亨
20139 ----> uni4EAB	享
20140 ----> uni4EAC	京
20141 ----> uni4EAD	亭
20142 ----> uni4EAE	亮
20147 ----> uni4EB3	亳
20154 ----> uni4EBA	人
20155 ----> uni4EBB	亻
20160 ----> uni4EC0	什
20161 ----> uni4EC1	仁
20162 ----> uni4EC2	仂
20163 ----> uni4EC3	仃
20164 ----> uni4EC4	仄
20166 ----> uni4EC6	仆
20167 ----> uni4EC7	仇
20169 ----> uni4EC9	仉
20170 ----> uni4ECA	今
20171 ----> uni4ECB	介
20173 ----> uni4ECD	仍
20180 ----> uni4ED4	仔
20181 ----> uni4ED5	仕
20182 ----> uni4ED6	他
20183 ----> uni4ED7	仗
20184 ----> uni4ED8	付
20185 ----> uni4ED9	仙
20189 ----> uni4EDD	仝
20190 ----> uni4EDE	仞
20191 ----> uni4EDF	仟
20193 ----> uni4EE1	仡
20195 ----> uni4EE3	代
20196 ----> uni4EE4	令
20197 ----> uni4EE5	以
20200 ----> uni4EE8	仨
20203 ----> uni4EEB	仫
20208 ----> uni4EF0	仰
20210 ----> uni4EF2	仲
20211 ----> uni4EF3	仳
20213 ----> uni4EF5	仵
20214 ----> uni4EF6	件
20215 ----> uni4EF7	价
20219 ----> uni4EFB	任
20221 ----> uni4EFD	份
20223 ----> uni4EFF	仿
20225 ----> uni4F01	企
20233 ----> uni4F09	伉
