20485 ----> uni5005	倅
20486 ----> uni5006	倆
20489 ----> uni5009	倉
20491 ----> uni500B	個
20493 ----> uni500D	倍
20495 ----> uni500F	倏
20497 ----> uni5011	們
20498 ----> uni5012	倒
20500 ----> uni5014	倔
20502 ----> uni5016	倖
20505 ----> uni5019	候
20506 ----> uni501A	倚
20511 ----> uni501F	借
20513 ----> uni5021	倡
20515 ----> uni5023	倣
20516 ----> uni5024	値
20517 ----> uni5025	倥
20518 ----> uni5026	倦
20520 ----> uni5028	倨
20521 ----> uni5029	倩
20522 ----> uni502A	倪
20523 ----> uni502B	倫
20524 ----> uni502C	倬
20534 ----> uni5036	倶
20537 ----> uni5039	倹
20547 ----> uni5043	偃
20551 ----> uni5047	假
20552 ----> uni5048	偈
20553 ----> uni5049	偉
20559 ----> uni504F	偏
20560 ----> uni5050	偐
20565 ----> uni5055	偕
20566 ----> uni5056	偖
20570 ----> uni505A	做
20572 ----> uni505C	停
20581 ----> uni5065	健
20588 ----> uni506C	偬
20594 ----> uni5072	偲
20596 ----> uni5074	側
20597 ----> uni5075	偵
20598 ----> uni5076	偶
20600 ----> uni5078	偸
20605 ----> uni507D	偽
20608 ----> uni5080	傀
20613 ----> uni5085	傅
20621 ----> uni508D	傍
20625 ----> uni5091	傑
20632 ----> uni5098	傘
20633 ----> uni5099	備
20634 ----> uni509A	傚
20652 ----> uni50AC	催
20653 ----> uni50AD	傭
20658 ----> uni50B2	傲
20659 ----> uni50B3	傳
20660 ----> uni50B4	傴
20661 ----> uni50B5	債
20663 ----> uni50B7	傷
20670 ----> uni50BE	傾
20674 ----> uni50C2	僂
20677 ----> uni50C5	僅
20681 ----> uni50C9	僉
20682 ----> uni50CA	僊
20685 ----> uni50CD	働
20687 ----> uni50CF	像
20689 ----> uni50D1	僑
20693 ----> uni50D5	僕
20694 ----> uni50D6	僖
20698 ----> uni50DA	僚
20702 ----> uni50DE	僞
20707 ----> uni50E3	僣
20709 ----> uni50E5	僥
20711 ----> uni50E7	僧
20717 ----> uni50ED	僭
20718 ----> uni50EE	僮
20725 ----> uni50F5	僵
20729 ----> uni50F9	價
20731 ----> uni50FB	僻
20736 ----> uni5100	儀
20737 ----> uni5101	儁
20738 ----> uni5102	儂
20740 ----> uni5104	億
20745 ----> uni5109	儉
20754 ----> uni5112	儒
20756 ----> uni5114	儔
20757 ----> uni5115	儕
20758 ----> uni5116	儖
20760 ----> uni5118	儘
20762 ----> uni511A	儚
20767 ----> uni511F	償
20769 ----> uni5121	儡
20778 ----> uni512A	優
20786 ----> uni5132	儲
20791 ----> uni5137	儷
20794 ----> uni513A	儺
20795 ----> uni513B	儻
20796 ----> uni513C	儼
20799 ----> uni513F	儿
20800 ----> uni5140	兀
20801 ----> uni5141	允
20803 ----> uni5143	元
20804 ----> uni5144	兄
20805 ----> uni5145	充
20806 ----> uni5146	兆
20807 ----> uni5147	兇
20808 ----> uni5148	先
20809 ----> uni5149	光
20811 ----> uni514B	克
20812 ----> uni514C	兌
20813 ----> uni514D	免
20814 ----> uni514E	兎
20816 ----> uni5150	児
20818 ----> uni5152	兒
20820 ----> uni5154	兔
20826 ----> uni515A	党
20828 ----> uni515C	兜
20834 ----> uni5162	兢
20837 ----> uni5165	入
20840 ----> uni5168	全
20841 ----> uni5169	兩
20842 ----> uni516A	兪
20843 ----> uni516B	八
20844 ----> uni516C	公
20846 ----> uni516E	兮
20849 ----> uni5171	共
20853 ----> uni5175	兵
20854 ----> uni5176	其
